"GEO_ID","NAME","B05010_001E","B05010_001M","B05010_001MA","B05010_001EA","B05010_002E","B05010_002M","B05010_002MA","B05010_002EA","B05010_003E","B05010_003M","B05010_003MA","B05010_003EA","B05010_004E","B05010_004M","B05010_004MA","B05010_004EA","B05010_005E","B05010_005M","B05010_005MA","B05010_005EA","B05010_006E","B05010_006M","B05010_006MA","B05010_006EA","B05010_007E","B05010_007M","B05010_007MA","B05010_007EA","B05010_008E","B05010_008M","B05010_008MA","B05010_008EA","B05010_009E","B05010_009M","B05010_009MA","B05010_009EA","B05010_010E","B05010_010M","B05010_010MA","B05010_010EA","B05010_011E","B05010_011M","B05010_011MA","B05010_011EA","B05010_012E","B05010_012M","B05010_012MA","B05010_012EA","B05010_013E","B05010_013M","B05010_013MA","B05010_013EA","B05010_014E","B05010_014M","B05010_014MA","B05010_014EA","B05010_015E","B05010_015M","B05010_015MA","B05010_015EA","B05010_016E","B05010_016M","B05010_016MA","B05010_016EA","B05010_017E","B05010_017M","B05010_017MA","B05010_017EA","B05010_018E","B05010_018M","B05010_018MA","B05010_018EA","B05010_019E","B05010_019M","B05010_019MA","B05010_019EA","B05010_020E","B05010_020M","B05010_020MA","B05010_020EA","B05010_021E","B05010_021M","B05010_021MA","B05010_021EA","B05010_022E","B05010_022M","B05010_022MA","B05010_022EA","B05010_023E","B05010_023M","B05010_023MA","B05010_023EA","B05010_024E","B05010_024M","B05010_024MA","B05010_024EA","B05010_025E","B05010_025M","B05010_025MA","B05010_025EA",
"1600000US0404720","Avondale city, Arizona","27589","3198","null","null","3853","1848","null","null","686","796","null","null","0","224","null","null","460","739","null","null","226","290","null","null","3167","1746","null","null","2338","1596","null","null","829","747","null","null","9024","3147","null","null","6071","2786","null","null","2797","1800","null","null","2122","2024","null","null","1152","1113","null","null","2953","1872","null","null","2806","1858","null","null","147","181","null","null","14712","3387","null","null","10271","2773","null","null","5898","2572","null","null","2236","1153","null","null","2137","1340","null","null","4441","2577","null","null","4019","2575","null","null","422","564","null","null",
"1600000US0407940","Buckeye city, Arizona","28021","3990","null","null","3734","3044","null","null","566","586","null","null","260","260","null","null","0","224","null","null","306","516","null","null","3168","2991","null","null","1546","1864","null","null","1622","2302","null","null","6089","3114","null","null","5357","3051","null","null","3705","2936","null","null","522","610","null","null","1130","1058","null","null","732","777","null","null","156","258","null","null","576","726","null","null","18198","3388","null","null","14727","3523","null","null","11668","3198","null","null","1968","1464","null","null","1091","944","null","null","3471","2340","null","null","2999","2309","null","null","472","460","null","null",
"1600000US0410670","Casas Adobes CDP, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0412000","Chandler city, Arizona","61403","4295","null","null","6155","1841","null","null","2082","1185","null","null","975","870","null","null","923","820","null","null","184","216","null","null","4073","1850","null","null","3136","1680","null","null","937","750","null","null","8501","2618","null","null","3449","1358","null","null","1185","705","null","null","1178","822","null","null","1086","1000","null","null","5052","2315","null","null","4602","2214","null","null","450","737","null","null","46747","4385","null","null","36102","4090","null","null","24714","3848","null","null","6623","1948","null","null","4765","1263","null","null","10645","2918","null","null","8487","2515","null","null","2158","1411","null","null",
"1600000US0423620","Flagstaff city, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0427400","Gilbert town, Arizona","77670","4878","null","null","4146","2082","null","null","1940","1574","null","null","1798","1573","null","null","48","79","null","null","94","114","null","null","2206","1218","null","null","2206","1218","null","null","0","224","null","null","4725","1866","null","null","1545","1128","null","null","1092","1031","null","null","453","457","null","null","0","224","null","null","3180","1486","null","null","3059","1479","null","null","121","193","null","null","68799","4997","null","null","56961","5452","null","null","47076","5232","null","null","4275","1851","null","null","5610","1944","null","null","11838","2551","null","null","11378","2436","null","null","460","395","null","null",
"1600000US0427820","Glendale city, Arizona","55520","3974","null","null","8507","3084","null","null","3603","2052","null","null","2208","1873","null","null","1171","699","null","null","224","304","null","null","4904","1814","null","null","3600","1678","null","null","1304","849","null","null","15969","3952","null","null","7714","2756","null","null","2653","1682","null","null","3787","1785","null","null","1274","1338","null","null","8255","2668","null","null","6349","2541","null","null","1906","1329","null","null","31044","4384","null","null","22065","3812","null","null","12782","2710","null","null","6047","2289","null","null","3236","1657","null","null","8979","3277","null","null","8070","3239","null","null","909","564","null","null",
"1600000US0428380","Goodyear city, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0446000","Mesa city, Arizona","109113","6809","null","null","12839","3749","null","null","3989","1879","null","null","1853","1090","null","null","965","601","null","null","1171","1294","null","null","8850","3132","null","null","5001","2214","null","null","3849","2157","null","null","21037","4104","null","null","10607","2687","null","null","6111","2020","null","null","2367","1343","null","null","2129","1419","null","null","10430","3455","null","null","8335","3152","null","null","2095","1545","null","null","75237","7088","null","null","59541","6117","null","null","46596","5770","null","null","5188","1868","null","null","7757","2802","null","null","15696","3233","null","null","14495","3065","null","null","1201","924","null","null",
"1600000US0454050","Peoria city, Arizona","41331","3417","null","null","3473","1720","null","null","1532","1227","null","null","441","526","null","null","1091","1109","null","null","0","224","null","null","1941","1190","null","null","1630","1105","null","null","311","495","null","null","5668","2032","null","null","2634","1608","null","null","1817","1445","null","null","709","649","null","null","108","163","null","null","3034","1532","null","null","2709","1411","null","null","325","541","null","null","32190","3234","null","null","25576","3001","null","null","20332","3156","null","null","3338","2102","null","null","1906","766","null","null","6614","1954","null","null","6215","1942","null","null","399","328","null","null",
