"GEO_ID","NAME","B08141_001E","B08141_001M","B08141_001MA","B08141_001EA","B08141_002E","B08141_002M","B08141_002MA","B08141_002EA","B08141_003E","B08141_003M","B08141_003MA","B08141_003EA","B08141_004E","B08141_004M","B08141_004MA","B08141_004EA","B08141_005E","B08141_005EA","B08141_005M","B08141_005MA","B08141_006E","B08141_006M","B08141_006MA","B08141_006EA","B08141_007E","B08141_007M","B08141_007MA","B08141_007EA","B08141_008E","B08141_008M","B08141_008MA","B08141_008EA","B08141_009E","B08141_009M","B08141_009MA","B08141_009EA","B08141_010E","B08141_010M","B08141_010MA","B08141_010EA","B08141_011E","B08141_011M","B08141_011MA","B08141_011EA","B08141_012E","B08141_012M","B08141_012MA","B08141_012EA","B08141_013E","B08141_013M","B08141_013MA","B08141_013EA","B08141_014E","B08141_014M","B08141_014MA","B08141_014EA","B08141_015E","B08141_015M","B08141_015MA","B08141_015EA","B08141_016E","B08141_016EA","B08141_016M","B08141_016MA","B08141_017E","B08141_017M","B08141_017MA","B08141_017EA","B08141_018E","B08141_018M","B08141_018MA","B08141_018EA","B08141_019E","B08141_019M","B08141_019MA","B08141_019EA","B08141_020E","B08141_020M","B08141_020MA","B08141_020EA","B08141_021E","B08141_021M","B08141_021MA","B08141_021EA","B08141_022E","B08141_022M","B08141_022MA","B08141_022EA","B08141_023E","B08141_023M","B08141_023MA","B08141_023EA","B08141_024E","B08141_024M","B08141_024MA","B08141_024EA","B08141_025E","B08141_025M","B08141_025MA","B08141_025EA","B08141_026E","B08141_026M","B08141_026MA","B08141_026EA","B08141_027E","B08141_027M","B08141_027MA","B08141_027EA","B08141_028E","B08141_028M","B08141_028MA","B08141_028EA","B08141_029E","B08141_029M","B08141_029MA","B08141_029EA","B08141_030E","B08141_030M","B08141_030MA","B08141_030EA","B08141_031E","B08141_031M","B08141_031MA","B08141_031EA","B08141_032E","B08141_032M","B08141_032MA","B08141_032EA","B08141_033E","B08141_033M","B08141_033MA","B08141_033EA","B08141_034E","B08141_034M","B08141_034MA","B08141_034EA","B08141_035E","B08141_035M","B08141_035MA","B08141_035EA",
"1600000US2629000","Flint city, Michigan","28099","2460","null","null","991","518","null","null","9487","2099","null","null","8797","2212","null","null","8824","null","2054","null","21473","2523","null","null","326","317","null","null","7292","1935","null","null","7070","1910","null","null","6785","1684","null","null","2775","1213","null","null","250","243","null","null","732","530","null","null","801","705","null","null","992","735","null","null","507","null","338","null","137","125","null","null","225","224","null","null","113","180","null","null","32","59","null","null","270","211","null","null","55","89","null","null","215","191","null","null","0","181","null","null","0","181","null","null","0","181","null","null","0","181","null","null","0","181","null","null","0","181","null","null","0","181","null","null","3074","1007","null","null","223","258","null","null","1023","560","null","null","813","473","null","null","1015","815","null","null",
"1600000US2634000","Grand Rapids city, Michigan","99250","3683","null","null","4534","1270","null","null","26498","3027","null","null","44293","4374","null","null","23925","null","3576","null","67791","3231","null","null","1389","750","null","null","17233","2327","null","null","30936","3356","null","null","18233","2879","null","null","8617","1852","null","null","739","522","null","null","2411","946","null","null","2862","922","null","null","2605","1162","null","null","1915","null","817","null","966","570","null","null","761","643","null","null","123","143","null","null","65","106","null","null","3297","1162","null","null","598","480","null","null","1227","643","null","null","1137","598","null","null","335","338","null","null","1892","786","null","null","435","401","null","null","438","289","null","null","900","504","null","null","119","138","null","null","15738","1923","null","null","407","388","null","null","4428","1120","null","null","8335","1469","null","null","2568","893","null","null",
"1600000US2642160","Kalamazoo city, Michigan","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US2646000","Lansing city, Michigan","52499","2723","null","null","2464","933","null","null","17548","2649","null","null","22010","2643","null","null","10477","null","2550","null","32552","2683","null","null","747","490","null","null","9773","1720","null","null","15044","2083","null","null","6988","2028","null","null","4596","1303","null","null","0","181","null","null","1914","855","null","null","1324","698","null","null","1358","784","null","null","1997","null","856","null","1054","665","null","null","502","515","null","null","108","128","null","null","333","413","null","null","1076","567","null","null","425","290","null","null","155","161","null","null","293","257","null","null","203","319","null","null","1253","632","null","null","30","52","null","null","316","323","null","null","533","385","null","null","374","343","null","null","11025","2254","null","null","208","183","null","null","4888","1450","null","null","4708","1495","null","null","1221","460","null","null",
"1600000US2649000","Livonia city, Michigan","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US2659440","Novi city, Michigan","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US2669035","Rochester Hills city, Michigan","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US2674900","Southfield city, Michigan","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US2676460","Sterling Heights city, Michigan","58621","3379","null","null","2134","1116","null","null","10539","1534","null","null","27555","3231","null","null","18393","null","3087","null","41321","2724","null","null","687","456","null","null","7763","1354","null","null","19011","2463","null","null","13860","2525","null","null","5118","1712","null","null","546","493","null","null","780","519","null","null","2001","1125","null","null","1791","906","null","null","149","null","237","null","149","237","null","null","0","181","null","null","0","181","null","null","0","181","null","null","380","379","null","null","234","287","null","null","0","181","null","null","98","118","null","null","48","77","null","null","685","404","null","null","444","342","null","null","0","181","null","null","241","190","null","null","0","181","null","null","10968","1780","null","null","74","132","null","null","1996","731","null","null","6204","1295","null","null","2694","883","null","null",
"1600000US2680700","Troy city, Michigan","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US2684000","Warren city, Michigan","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US2686000","Westland city, Michigan","40019","2447","null","null","1526","817","null","null","10848","1816","null","null","16145","2264","null","null","11500","null","2359","null","29529","2312","null","null","263","201","null","null","8104","1549","null","null","12610","1955","null","null","8552","1927","null","null","2882","1096","null","null","50","84","null","null","626","490","null","null","669","465","null","null","1537","785","null","null","49","null","83","null","49","83","null","null","0","181","null","null","0","181","null","null","0","181","null","null","575","505","null","null","56","92","null","null","79","98","null","null","0","181","null","null","440","454","null","null","925","501","null","null","273","259","null","null","235","327","null","null","209","244","null","null","208","222","null","null","6059","1313","null","null","835","721","null","null","1804","677","null","null","2657","746","null","null","763","518","null","null",
"1600000US2688940","Wyoming city, Michigan","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US2706382","Blaine city, Minnesota","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US2706616","Bloomington city, Minnesota","43922","2500","null","null","1343","771","null","null","9541","1526","null","null","23246","2717","null","null","9792","null","2316","null","27377","2101","null","null","931","694","null","null","5529","1083","null","null","15007","1946","null","null","5910","1364","null","null","4031","1434","null","null","0","157","null","null","1013","768","null","null","1662","844","null","null","1356","1017","null","null","559","null","426","null","128","217","null","null","137","166","null","null","294","373","null","null","0","157","null","null","541","336","null","null","0","157","null","null","223","232","null","null","318","252","null","null","0","157","null","null","580","489","null","null","0","157","null","null","168","167","null","null","412","454","null","null","0","157","null","null","10834","1469","null","null","284","246","null","null","2471","682","null","null","5553","1149","null","null","2526","872","null","null",
"1600000US2707966","Brooklyn Park city, Minnesota","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US2717000","Duluth city, Minnesota","41305","2351","null","null","1021","473","null","null","8709","1247","null","null","17752","2222","null","null","13823","null","2541","null","28726","2106","null","null","133","133","null","null","6624","1105","null","null","12457","1673","null","null","9512","1862","null","null","2642","858","null","null","0","157","null","null","394","245","null","null","1299","615","null","null","949","482","null","null","623","null","518","null","62","101","null","null","51","83","null","null","74","88","null","null","436","495","null","null","1278","505","null","null","369","285","null","null","302","217","null","null","358","220","null","null","249","207","null","null","499","292","null","null","135","139","null","null","85","104","null","null","252","202","null","null","27","47","null","null","7537","1336","null","null","322","219","null","null","1253","421","null","null","3312","1132","null","null","2650","1104","null","null",
"1600000US2717288","Eagan city, Minnesota","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US2735180","Lakeville city, Minnesota","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US2740166","Maple Grove city, Minnesota","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
