city,state_code,walk_score,bike_score
Washington,DC,98,92
Apopka,FL,18,37
Boca Raton,FL,38,56
Bonita Springs,FL,19,45
Boynton Beach,FL,34,44
Bradenton,FL,40,43
Cape Coral,FL,17,37
Clearwater,FL,42,56
Coconut Creek,FL,25,41
Coral Springs,FL,38,45
Daytona Beach,FL,37,51
Deerfield Beach,FL,39,50
Delray Beach,FL,35,48
Deltona,FL,16,30
Doral,FL,39,53
Fort Lauderdale,FL,56,56
Fort Myers,FL,35,48
Gainesville,FL,37,69
Hialeah,FL,68,51
Hollywood,FL,52,53
Homestead,FL,32,45
Jacksonville,FL,26,41
Kissimmee,FL,30,49
Lakeland,FL,35,51
Largo,FL,43,52
Lauderhill,FL,39,46
Margate,FL,37,47
Melbourne,FL,33,45
Miami,FL,77,64
Miami Beach,FL,76,69
Miami Gardens,FL,38,43
Miramar,FL,28,40
North Miami,FL,61,53
North Port,FL,7,32
Ocala,FL,27,42
Orlando,FL,41,57
Palm Bay,FL,13,38
Palm Beach Gardens,FL,21,35
Palm Coast,FL,6,32
Pembroke Pines,FL,32,41
Pensacola,FL,36,47
Pinellas Park,FL,40,51
Plantation,FL,29,42
Pompano Beach,FL,43,51
Port Orange,FL,20,38
Port St. Lucie,FL,13,36
St. Cloud,FL,25,44
St. Petersburg,FL,43,59
Sanford,FL,27,40
Sarasota,FL,52,60
Sunrise,FL,37,44
Tallahassee,FL,30,45
Tamarac,FL,30,51
Tampa,FL,50,55
Weston,FL,15,39
West Palm Beach,FL,40,50
Winter Haven,FL,25,41
Albany,GA,23,34
Alpharetta,GA,22,24
Atlanta,GA,48,42
Brookhaven,GA,22,25
Columbus,GA,25,31
Dunwoody,GA,33,25
Johns Creek,GA,18,21
Marietta,GA,36,27
Roswell,GA,22,22
Sandy Springs,GA,27,20
Savannah,GA,44,52
Smyrna,GA,34,28
South Fulton,GA,7,16
Stonecrest,GA,53,35
Valdosta,GA,30,45
Warner Robins,GA,21,33
Boise City,ID,38,62
Caldwell,ID,24,38
Coeur d'Alene,ID,35,50
Idaho Falls,ID,42,49
Meridian,ID,26,41
Nampa,ID,29,46
Pocatello,ID,37,42
Twin Falls,ID,39,52
Aurora,IL,40,52
Berwyn,IL,75,57
Bloomington,IL,35,47
Champaign,IL,52,65
Chicago,IL,77,72
Decatur,IL,34,39
Des Plaines,IL,57,54
Elgin,IL,43,51
Evanston,IL,76,89
Joliet,IL,35,44
Naperville,IL,34,45
Peoria,IL,41,44
Rockford,IL,41,43
Springfield,IL,38,45
Waukegan,IL,49,42
Wheaton,IL,40,51
Champaign City township,IL,70,68
Anderson,IN,34,40
Bloomington,IN,43,58
Carmel,IN,19,54
Columbus,IN,29,48
Elkhart,IN,38,47
Evansville,IN,44,43
Fishers,IN,18,52
Fort Wayne,IN,32,41
Gary,IN,32,39
Greenwood,IN,25,40
Hammond,IN,52,54
Indianapolis (balance),IN,99,99
Jeffersonville,IN,24,37
Kokomo,IN,40,47
Lafayette,IN,38,43
Mishawaka,IN,44,47
Muncie,IN,38,53
Noblesville,IN,15,44
South Bend,IN,42,58
Terre Haute,IN,40,48
Westfield,IN,15,51
Indianapolis,IN,31,43
Ames,IA,42,69
Ankeny,IA,34,39
Cedar Rapids,IA,34,41
Council Bluffs,IA,37,45
Davenport,IA,44,40
Des Moines,IA,45,39
Dubuque,IA,40,34
Iowa City,IA,45,66
Sioux City,IA,40,36
Waterloo,IA,37,47
West Des Moines,IA,34,37
Kansas City,KS,32,28
Lawrence,KS,41,61
Lenexa,KS,33,44
Manhattan,KS,39,54
Olathe,KS,30,50
Overland Park,KS,35,46
Shawnee,KS,24,33
Topeka,KS,37,54
Wichita,KS,35,44
Bowling Green,KY,37,39
Owensboro,KY,36,47
Baton Rouge,LA,39,44
Bossier City,LA,31,39
Kenner,LA,46,46
Lafayette,LA,42,47
Lake Charles,LA,37,44
New Orleans,LA,58,66
Shreveport,LA,31,37
Portland,ME,62,68
Baltimore,MD,64,53
Bowie,MD,25,38
Frederick,MD,47,47
Gaithersburg,MD,52,51
Rockville,MD,56,58
Boston,MA,83,69
Brockton,MA,51,43
Cambridge,MA,90,96
Chicopee,MA,42,37
Fall River,MA,65,48
Framingham,MA,42,37
Haverhill,MA,41,33
Lawrence,MA,72,44
Lowell,MA,67,44
Lynn,MA,70,45
Malden,MA,73,49
Medford,MA,68,59
Methuen Town,MA,38,31
New Bedford,MA,65,49
Newton,MA,57,47
Peabody,MA,43,35
Quincy,MA,63,42
Revere,MA,67,44
Somerville,MA,89,90
Springfield,MA,58,45
Taunton,MA,30,34
Waltham,MA,57,47
Weymouth Town,MA,37,34
Worcester,MA,56,35
Ann Arbor,MI,52,71
Battle Creek,MI,37,38
Dearborn,MI,58,47
Dearborn Heights,MI,47,49
Detroit,MI,51,52
Farmington Hills,MI,25,36
Flint,MI,44,44
Grand Rapids,MI,56,52
Kalamazoo,MI,47,50
Kentwood,MI,25,41
Lansing,MI,46,55
Livonia,MI,36,45
Novi,MI,19,45
Pontiac,MI,41,43
Rochester Hills,MI,20,32
Royal Oak,MI,57,53
St. Clair Shores,MI,47,42
Southfield,MI,34,39
Sterling Heights,MI,33,37
Taylor,MI,36,38
Troy,MI,29,41
Warren,MI,44,44
Westland,MI,40,45
Wyoming,MI,39,42
Apple Valley,MN,21,38
Blaine,MN,23,40
Bloomington,MN,29,42
Brooklyn Park,MN,28,45
Burnsville,MN,32,39
Coon Rapids,MN,25,46
Duluth,MN,36,43
Eagan,MN,23,37
