pop_estimate_2021,land_area_sqkm,pop_per_km2,median_age,male,female,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,hispanic_or_latino,access2,arthritis,binge,bphigh,bpmed,cancer,casthma,cervical,chd,checkup,cholscreen,colon_screen,copd,corem,corew,csmoking,dental,depression,diabetes,ghlth,highchol,kidney,lpa,mammouse,mhlth,obesity,phlth,sleep,stroke,teethlost,cumulative_confirmed,cumulative_deceased,walk_score,bike_score,drive_commute,public_transit_commute,walk_commute,bike_commute,work_from_home,households,mean_household_income,mean_income,median_household_income,living_wage,poverty,unemployment_rate,median_aqi,violent_crime,property_crime
78564,157.084761,500.137629518372,27.8,0.48318568301003,0.5166615752762079,0.6226515961509088,0.1783132223410213,0.0030293773229468,0.0943689221526398,0.0004836820935797,0.0203273764064966,0.0500101827809174,0.0460643551753984,14.65,26.45,16.05,37.05,69.45,5.75,9.65,82.95,6.15,76.55000000000001,86.75,72.85,7.1,41.7,43.35,16.2,66.55,25.1,11.1,17.049999999999997,31.8,2.9,24.3,74.1,16.0,36.0,10.6,35.849999999999994,3.1,11.85,0.482256504251311,0.0043404103660709,28,38,1.0,1.0,1.0,1.0,1.0,0.370856881014205,79325.0,29770.0,48531.0,32556.0,0.2319255638714933,1.0,1.0,1.0,1.0
197575,380.801025,518.8405152008191,37.2,0.4792914083259522,0.5148120966721498,0.2389421738580286,0.6949057320005061,0.0038213336707579,0.0165759838036188,0.000622548399342,0.0271289383778312,0.0339870935087941,0.0469391370365683,15.45,28.5,13.8,38.900000000000006,71.65,6.199999999999999,9.75,86.7,6.65,77.95,89.3,78.9,7.050000000000001,44.65,40.5,15.85,63.25,22.450000000000003,12.85,17.8,30.25,3.2,25.1,80.55,15.15,38.85,10.35,37.7,3.55,12.1,0.6407755614066528,0.0081781337450545,33,31,83.6,0.9,2.8,0.1,12.0,0.4432240921169176,58012.0,27211.0,36614.0,36193.0,0.2707123877008731,7.4,51.0,63.0,63.0
57804,140.78562399999998,410.5816940513756,37.2,0.4792914083259522,0.5148120966721498,0.5741817175281987,0.2325271607501211,0.007490831084354,0.0091862154868175,0.0009687910871219,0.1035049477544806,0.0744585149816621,0.1569095564320808,17.65,31.25,15.4,37.4,69.45,6.7,9.75,83.15,7.6,75.4,86.95,71.25,8.95,39.55,44.6,20.35,61.0,26.4,12.5,19.450000000000003,33.8,3.2,28.6,73.8,16.8,40.150000000000006,12.25,37.85,3.6,14.0,0.6256833437132379,0.0089613175558784,25,40,83.6,0.9,2.8,0.1,12.0,0.4432240921169176,58012.0,27211.0,36614.0,31259.0,0.2707123877008731,7.4,39.0,9.223372036854776e+18,9.223372036854776e+18
71175,232.650562,305.93091797474364,40.5,0.4735651563048823,0.5279522304179839,0.5689638215665613,0.3357358623112048,0.004004214963119,0.0160309097295398,0.000660344221988,0.0202880224798033,0.0528696873902353,0.0439901650860554,17.15,29.85,13.4,43.45,70.35,6.65,10.1,83.85,7.550000000000001,77.65,87.65,74.35,8.7,44.15,35.9,20.1,58.45,26.35,12.7,20.65,33.95,3.4000000000000004,32.65,71.25,16.85,39.1,12.3,39.9,3.95,14.2,0.3624868282402529,0.0071092377941693,22,31,89.1,0.0,1.3,0.1,7.9,0.4257253249034071,70513.0,31168.0,45088.0,31803.0,0.209933263083948,5.3,39.0,5.722806367154188e+29,5.722806367154188e+29
92589,124.490626,743.7427457389443,38.9,0.5040663577746817,0.495922841806262,0.6875978787976974,0.1687133460778278,0.0027433064402898,0.0640356845845618,0.0002160083811251,0.0209528129691432,0.055924569873311,0.0508051712406441,15.45,28.5,13.8,38.900000000000006,71.65,6.199999999999999,9.75,86.7,6.65,77.95,89.3,78.9,7.050000000000001,44.65,40.5,15.85,63.25,22.450000000000003,12.85,17.8,30.25,3.2,25.1,80.55,15.15,38.85,10.35,37.7,3.55,12.1,0.6407755614066528,0.0081781337450545,17,12,89.1,0.0,1.3,0.1,7.9,0.3966021881649008,124562.0,50046.0,99276.0,36193.0,0.0598127207335644,3.5,51.0,0.0012312477724135,0.0207584054261305
216963,564.925108,384.05621723578975,38.0,0.4927291750206256,0.5004447762982628,0.5608191258417334,0.2907638629628093,0.0065863764789388,0.0252070629554347,0.001345851596816,0.0338675257993298,0.0723902232177836,0.07682876803879,13.6,27.1,15.3,36.7,70.7,6.300000000000001,9.25,85.15,5.949999999999999,76.1,89.25,77.19999999999999,6.4,45.2,44.75,15.5,65.15,23.25,11.2,15.3,31.450000000000003,2.8,22.75,76.05000000000001,14.95,35.25,9.55,38.400000000000006,2.95,9.2,0.3283270376289409,0.0035159087607148,24,40,75.5,0.1,0.9,0.1,22.1,0.4450113613841991,95849.0,42232.0,70757.0,32540.0,0.1258048607366233,3.9,41.0,0.0012312477724135,0.0207584054261305
58357,78.636371,742.1120692357484,38.0,0.4927291750206256,0.5004447762982628,0.649964871395034,0.1448840756036122,0.0045410147882858,0.0760320098702812,0.0013023287694706,0.0189009030621861,0.0799732679884161,0.056342855184468,13.6,27.1,15.3,36.7,70.7,6.300000000000001,9.25,85.15,5.949999999999999,76.1,89.25,77.19999999999999,6.4,45.2,44.75,15.5,65.15,23.25,11.2,15.3,31.450000000000003,2.8,22.75,76.05000000000001,14.95,35.25,9.55,38.400000000000006,2.95,9.2,0.3283270376289409,0.0035159087607148,17,34,75.5,0.1,0.9,0.1,22.1,0.4450113613841991,95849.0,42232.0,70757.0,32540.0,0.1258048607366233,3.9,41.0,0.0012312477724135,0.0207584054261305
184952,361.255557,511.9699791912128,37.8,0.4762154504952636,0.52382780397076,0.4124042994939227,0.5192644578052684,0.0033305938838185,0.0183182663610017,0.0006163761408365,0.0137441065790042,0.0436167221765647,0.032624680998313,17.9,31.1,14.85,41.0,71.95,6.3,10.25,83.94999999999999,7.4,76.0,87.75,72.75,8.3,40.35,39.1,20.05,58.6,23.55,13.85,20.35,34.4,3.4000000000000004,28.200000000000003,74.75,16.549999999999997,39.35,12.35,40.1,3.95,15.35,0.6125913750594749,0.0089374540421298,32,34,87.8,0.2,1.1,0.1,10.1,0.4216823824559886,65593.0,28706.0,43786.0,33389.0,0.2129363294260132,7.8,44.0,0.0012312477724135,0.0207584054261305
198665,414.027223,479.8355976703493,36.1,0.4680039262074346,0.5319658721969144,0.2951551606976568,0.6088138323308081,0.0035889562831902,0.0362872171746407,0.0006493343064958,0.0289381622329046,0.0363224523695668,0.0486698713915385,17.25,30.9,12.5,43.85,71.4,5.85,10.65,84.8,6.9,79.05,89.44999999999999,73.95,7.4,42.25,35.650000000000006,16.95,61.75,22.1,15.25,20.700000000000003,32.15,3.45,31.25,78.35,16.1,48.85,11.65,42.05,4.0,13.9,0.2784385775048448,0.0047718521128532,26,33,90.4,0.1,1.2,0.0,7.5,0.4103843153046586,65160.0,27253.0,46957.0,33357.0,0.2310321395313719,8.6,37.0,0.0027715206925489,0.0341747272646967
100618,160.313457,627.6329004619993,29.4,0.4750839809974359,0.5247967560476257,0.4816533820986304,0.4079389373670715,0.0029120038164145,0.0234749249637241,0.0005168061380667,0.0207716313184519,0.0526148402870261,0.0540459957462879,15.95,27.6,16.35,39.2,68.75,5.75,10.1,83.5,6.35,75.9,87.25,72.85,7.25,45.35,41.45,17.6,63.75,24.450000000000003,11.55,17.6,31.55,2.95,28.7,75.94999999999999,17.0,40.8,11.15,39.650000000000006,3.25,12.45,0.5595519688326145,0.0078117235484704,33,37,87.7,0.0,1.6,0.6,8.8,0.3902482657178636,70595.0,29062.0,41770.0,34174.0,0.1881174342562961,6.4,31.0,0.0027715206925489,0.0341747272646967
