city,state,violent_crime,property_crime
Hoover,Alabama,114.0,1922.0
1 Limited data for 2019 were available for Alabama.,Alabama,,
2 The figure shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,Alabama,,
Apache Junction3,Arizona,95.0,
Avondale,Arizona,251.0,3095.0
Buckeye,Arizona,107.0,1265.0
Bullhead City,Arizona,129.0,1352.0
Camp Verde,Arizona,46.0,265.0
Casa Grande4,Arizona,274.0,1336.0
Chandler,Arizona,593.0,5382.0
Chino Valley,Arizona,37.0,154.0
Clarkdale,Arizona,3.0,44.0
Coolidge4,Arizona,70.0,393.0
Cottonwood,Arizona,45.0,422.0
Douglas,Arizona,10.0,594.0
Eagar4,Arizona,11.0,21.0
El Mirage,Arizona,84.0,982.0
Flagstaff,Arizona,367.0,2371.0
Florence,Arizona,44.0,74.0
Fredonia,Arizona,1.0,13.0
Gilbert,Arizona,245.0,3050.0
Glendale,Arizona,863.0,8083.0
Globe,Arizona,134.0,525.0
Goodyear,Arizona,172.0,2045.0
Hayden,Arizona,8.0,35.0
Holbrook,Arizona,39.0,324.0
Huachuca City,Arizona,6.0,20.0
Jerome,Arizona,1.0,19.0
Kearny,Arizona,1.0,14.0
Kingman,Arizona,100.0,1342.0
Lake Havasu City,Arizona,87.0,670.0
Mammoth,Arizona,3.0,14.0
Marana,Arizona,35.0,1132.0
Maricopa,Arizona,85.0,604.0
Mesa,Arizona,1953.0,9683.0
Miami,Arizona,27.0,31.0
Nogales,Arizona,41.0,608.0
Oro Valley,Arizona,22.0,588.0
Page,Arizona,126.0,537.0
Paradise Valley,Arizona,10.0,161.0
Parker,Arizona,2.0,81.0
Payson,Arizona,59.0,288.0
Peoria,Arizona,407.0,3273.0
Phoenix,Arizona,11803.0,55974.0
Pima,Arizona,0.0,36.0
Pinetop-Lakeside,Arizona,21.0,143.0
Prescott,Arizona,214.0,684.0
Prescott Valley,Arizona,93.0,474.0
Safford,Arizona,21.0,363.0
Sahuarita,Arizona,43.0,345.0
San Luis4,Arizona,33.0,420.0
Scottsdale,Arizona,415.0,5099.0
Show Low,Arizona,59.0,332.0
Sierra Vista,Arizona,116.0,987.0
Snowflake-Taylor,Arizona,53.0,151.0
Somerton4,Arizona,36.0,129.0
Springerville,Arizona,0.0,11.0
St. Johns,Arizona,12.0,59.0
Surprise,Arizona,138.0,2083.0
Tempe,Arizona,889.0,7420.0
Thatcher,Arizona,3.0,112.0
Tolleson,Arizona,68.0,666.0
Tucson,Arizona,3775.0,17943.0
Wellton,Arizona,5.0,31.0
Wickenburg,Arizona,17.0,148.0
Willcox,Arizona,7.0,127.0
Williams,Arizona,26.0,66.0
Winslow,Arizona,126.0,445.0
Yuma,Arizona,376.0,2302.0
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,Arizona,,
2 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,Arizona,,
"3 The FBI determined that the agency's data were overreported. Consequently, those data are not included in this table.",Arizona,,
"4 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",Arizona,,
Alexander,Arkansas,15.0,73.0
Alma,Arkansas,35.0,228.0
Altus,Arkansas,0.0,22.0
Amity,Arkansas,1.0,2.0
Ashdown,Arkansas,13.0,102.0
Ash Flat,Arkansas,5.0,40.0
Atkins,Arkansas,11.0,76.0
Augusta,Arkansas,12.0,31.0
Austin,Arkansas,4.0,21.0
Bald Knob,Arkansas,23.0,118.0
Barling,Arkansas,28.0,75.0
Batesville,Arkansas,29.0,262.0
Bay,Arkansas,3.0,24.0
Bearden,Arkansas,1.0,7.0
Beebe,Arkansas,23.0,273.0
Bella Vista,Arkansas,49.0,188.0
Benton,Arkansas,212.0,1328.0
Bentonville,Arkansas,119.0,734.0
Berryville,Arkansas,25.0,193.0
Bethel Heights,Arkansas,4.0,18.0
Blytheville,Arkansas,109.0,629.0
Bono,Arkansas,6.0,28.0
Booneville,Arkansas,17.0,107.0
Bradford,Arkansas,2.0,8.0
Brinkley,Arkansas,29.0,80.0
Brookland,Arkansas,7.0,60.0
Bryant,Arkansas,32.0,888.0
Bull Shoals,Arkansas,2.0,21.0
Cabot,Arkansas,100.0,371.0
Caddo Valley,Arkansas,1.0,34.0
Camden,Arkansas,113.0,373.0
Cammack Village,Arkansas,0.0,14.0
Carlisle,Arkansas,4.0,51.0
Cave Springs,Arkansas,3.0,20.0
Cedarville,Arkansas,10.0,19.0
Centerton,Arkansas,53.0,139.0
Charleston,Arkansas,7.0,24.0
Cherokee Village,Arkansas,10.0,78.0
Cherry Valley,Arkansas,1.0,8.0
Clarksville,Arkansas,29.0,240.0
Clinton,Arkansas,8.0,113.0
Conway,Arkansas,324.0,1842.0
Corning,Arkansas,10.0,41.0
Cotter,Arkansas,3.0,17.0
Crossett,Arkansas,30.0,187.0
Damascus,Arkansas,0.0,4.0
Dardanelle,Arkansas,28.0,114.0
Decatur,Arkansas,17.0,46.0
De Queen,Arkansas,33.0,172.0
Des Arc,Arkansas,8.0,20.0
DeWitt,Arkansas,28.0,84.0
Diaz,Arkansas,1.0,14.0
Dover,Arkansas,8.0,30.0
Dumas,Arkansas,15.0,33.0
Earle,Arkansas,15.0,46.0
El Dorado,Arkansas,239.0,996.0
Elkins,Arkansas,24.0,27.0
England,Arkansas,21.0,87.0
Etowah,Arkansas,0.0,4.0
Eudora,Arkansas,4.0,32.0
Eureka Springs,Arkansas,22.0,95.0
Fairfield Bay,Arkansas,10.0,40.0
Farmington,Arkansas,33.0,67.0
Fayetteville,Arkansas,396.0,3966.0
Flippin,Arkansas,5.0,61.0
Fordyce,Arkansas,42.0,213.0
Forrest City,Arkansas,129.0,668.0
Fort Smith,Arkansas,863.0,5127.0
Gassville,Arkansas,9.0,51.0
Gentry,Arkansas,15.0,21.0
Glenwood,Arkansas,2.0,24.0
Gosnell,Arkansas,14.0,46.0
Gravette,Arkansas,14.0,77.0
Greenbrier,Arkansas,10.0,16.0
Green Forest,Arkansas,18.0,66.0
Greenland,Arkansas,6.0,15.0
Greenwood,Arkansas,23.0,36.0
Gurdon,Arkansas,19.0,32.0
Hamburg,Arkansas,18.0,16.0
Harrisburg,Arkansas,18.0,37.0
Harrison,Arkansas,50.0,350.0
Haskell,Arkansas,16.0,75.0
Hazen,Arkansas,5.0,26.0
Heber Springs,Arkansas,24.0,231.0
Helena-West Helena,Arkansas,187.0,578.0
Highland,Arkansas,4.0,17.0
Hope,Arkansas,70.0,396.0
Hot Springs,Arkansas,241.0,2674.0
Hoxie,Arkansas,5.0,24.0
Jacksonville,Arkansas,271.0,1484.0
Jericho,Arkansas,0.0,0.0
Johnson,Arkansas,6.0,85.0
Jonesboro,Arkansas,537.0,2982.0
Judsonia,Arkansas,12.0,29.0
Kensett,Arkansas,7.0,18.0
Lake City,Arkansas,4.0,19.0
Lakeview,Arkansas,4.0,12.0
Lake Village,Arkansas,20.0,68.0
Lamar,Arkansas,0.0,25.0
Lincoln,Arkansas,9.0,51.0
Little Flock,Arkansas,10.0,35.0
Little Rock,Arkansas,3009.0,12145.0
Lonoke,Arkansas,22.0,127.0
Lowell,Arkansas,28.0,117.0
Luxora,Arkansas,1.0,3.0
Madison,Arkansas,3.0,5.0
Magnolia,Arkansas,14.0,295.0
Marianna,Arkansas,28.0,154.0
Marion,Arkansas,122.0,379.0
Marked Tree,Arkansas,17.0,50.0
Marmaduke,Arkansas,6.0,47.0
Marshall,Arkansas,3.0,12.0
Maumelle,Arkansas,28.0,301.0
Mayflower,Arkansas,10.0,66.0
McCrory,Arkansas,11.0,33.0
McGehee,Arkansas,31.0,95.0
McRae,Arkansas,1.0,4.0
Mena,Arkansas,3.0,223.0
Menifee,Arkansas,0.0,2.0
Mineral Springs,Arkansas,1.0,13.0
Monette,Arkansas,1.0,22.0
Monticello,Arkansas,38.0,289.0
Morrilton,Arkansas,26.0,240.0
Mountainburg,Arkansas,7.0,28.0
Mountain Home,Arkansas,32.0,486.0
Mountain View,Arkansas,9.0,99.0
Mulberry,Arkansas,14.0,61.0
Murfreesboro,Arkansas,4.0,12.0
Nashville,Arkansas,27.0,130.0
Newport,Arkansas,92.0,369.0
Norfork,Arkansas,0.0,1.0
North Little Rock,Arkansas,562.0,2479.0
Osceola,Arkansas,172.0,316.0
Ozark,Arkansas,29.0,86.0
Paragould,Arkansas,307.0,1378.0
Paris,Arkansas,22.0,94.0
Pea Ridge,Arkansas,24.0,69.0
Perryville,Arkansas,3.0,29.0
Piggott,Arkansas,17.0,52.0
Pine Bluff2,Arkansas,644.0,
Plumerville,Arkansas,0.0,11.0
Pocahontas,Arkansas,43.0,216.0
Pottsville,Arkansas,13.0,18.0
Prairie Grove,Arkansas,16.0,134.0
Prescott2,Arkansas,6.0,
Quitman,Arkansas,2.0,22.0
Ravenden,Arkansas,2.0,5.0
Redfield,Arkansas,4.0,23.0
Rogers,Arkansas,330.0,1968.0
Rose Bud,Arkansas,0.0,11.0
Russellville,Arkansas,140.0,897.0
Salem,Arkansas,2.0,15.0
Searcy,Arkansas,199.0,1042.0
Shannon Hills,Arkansas,17.0,62.0
Sheridan2,Arkansas,14.0,
Sherwood,Arkansas,195.0,928.0
Siloam Springs,Arkansas,70.0,458.0
Star City,Arkansas,17.0,48.0
St. Charles,Arkansas,0.0,3.0
Stuttgart,Arkansas,101.0,302.0
Sulphur Springs,Arkansas,10.0,7.0
Swifton,Arkansas,1.0,7.0
Texarkana,Arkansas,183.0,1130.0
Trumann,Arkansas,41.0,321.0
Tuckerman,Arkansas,9.0,34.0
Van Buren,Arkansas,117.0,752.0
Vilonia,Arkansas,5.0,55.0
Waldron,Arkansas,15.0,112.0
Walnut Ridge,Arkansas,11.0,69.0
Ward,Arkansas,64.0,103.0
Warren,Arkansas,24.0,146.0
Weiner,Arkansas,4.0,12.0
West Fork,Arkansas,5.0,34.0
West Memphis,Arkansas,485.0,1225.0
White Hall,Arkansas,5.0,69.0
Wilson,Arkansas,0.0,12.0
Wynne,Arkansas,79.0,292.0
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,Arkansas,,
"2 The FBI determined that the agency's data were overreported. Consequently, those data are not included in this table.",Arkansas,,
Adelanto,California,276.0,459.0
Agoura Hills,California,21.0,306.0
Alameda,California,162.0,2579.0
Albany,California,40.0,685.0
Alhambra,California,161.0,1749.0
Aliso Viejo,California,27.0,433.0
Alturas,California,10.0,30.0
American Canyon,California,53.0,454.0
Anaheim,California,1120.0,8258.0
Anderson,California,61.0,363.0
Angels Camp,California,6.0,74.0
Antioch,California,648.0,3199.0
Apple Valley,California,339.0,1105.0
Arcadia,California,84.0,1348.0
Arcata,California,72.0,605.0
Arroyo Grande,California,27.0,275.0
Artesia,California,72.0,284.0
Arvin,California,196.0,437.0
Atascadero,California,65.0,493.0
Atherton,California,12.0,110.0
Atwater,California,206.0,1031.0
Auburn,California,50.0,237.0
Avalon,California,10.0,40.0
Avenal,California,69.0,58.0
Azusa,California,144.0,959.0
Bakersfield,California,1766.0,16074.0
Baldwin Park,California,188.0,1110.0
Banning,California,136.0,532.0
Barstow,California,274.0,986.0
Bear Valley,California,11.0,44.0
Beaumont,California,92.0,922.0
Bell,California,168.0,441.0
Bellflower,California,327.0,1506.0
Bell Gardens,California,147.0,630.0
Belmont,California,45.0,392.0
Belvedere,California,1.0,15.0
Benicia,California,16.0,377.0
Berkeley,California,618.0,6256.0
Beverly Hills,California,103.0,1499.0
Big Bear,California,76.0,135.0
Biggs,California,3.0,17.0
Bishop,California,34.0,183.0
Blythe,California,92.0,644.0
Bradbury,California,1.0,10.0
Brawley,California,121.0,618.0
Brea,California,72.0,1450.0
Brentwood,California,166.0,1335.0
Brisbane,California,10.0,137.0
Broadmoor,California,11.0,82.0
Buellton,California,3.0,54.0
Buena Park,California,246.0,2061.0
Burbank,California,189.0,2617.0
Burlingame,California,74.0,1185.0
Calabasas,California,35.0,331.0
Calexico,California,94.0,894.0
California City,California,83.0,281.0
Calimesa,California,22.0,280.0
Calistoga,California,6.0,70.0
Camarillo,California,58.0,817.0
Campbell,California,89.0,1357.0
Canyon Lake,California,15.0,74.0
Capitola,California,30.0,528.0
Carlsbad,California,240.0,2135.0
Carmel,California,11.0,103.0
Carpinteria,California,11.0,155.0
Carson,California,444.0,2004.0
Cathedral City,California,144.0,602.0
Central Marin,California,32.0,1094.0
Ceres,California,209.0,1158.0
Cerritos,California,127.0,1634.0
Chico,California,557.0,2406.0
Chino,California,329.0,2224.0
Chino Hills,California,95.0,891.0
Chowchilla,California,39.0,234.0
Chula Vista,California,904.0,3816.0
Citrus Heights,California,313.0,2248.0
Claremont,California,51.0,774.0
Clayton,California,1.0,155.0
Clearlake,California,119.0,460.0
Cloverdale,California,16.0,116.0
Clovis,California,243.0,2276.0
Coachella,California,126.0,894.0
Coalinga,California,41.0,217.0
Colma,California,28.0,325.0
Colton,California,215.0,1517.0
Colusa,California,6.0,78.0
Commerce,California,138.0,1004.0
Compton,California,1104.0,2346.0
Concord,California,541.0,4560.0
Corcoran,California,118.0,272.0
Corning,California,28.0,211.0
Corona,California,291.0,3482.0
Coronado,California,9.0,324.0
Costa Mesa,California,312.0,3739.0
Cotati,California,40.0,95.0
Covina,California,171.0,1189.0
Crescent City,California,23.0,311.0
Cudahy,California,89.0,214.0
Culver City,California,182.0,1647.0
Cupertino,California,55.0,1018.0
Cypress,California,52.0,596.0
Daly City,California,232.0,1868.0
Dana Point,California,52.0,399.0
Danville,California,23.0,296.0
Davis,California,107.0,2190.0
Delano,California,205.0,1118.0
Del Mar,California,7.0,67.0
Del Rey Oaks,California,7.0,39.0
Desert Hot Springs,California,255.0,680.0
Diamond Bar,California,72.0,908.0
Dinuba,California,161.0,530.0
Dixon,California,54.0,389.0
Dorris,California,4.0,11.0
Dos Palos,California,64.0,169.0
Downey,California,352.0,2473.0
Duarte,California,55.0,305.0
Dublin,California,107.0,1259.0
Dunsmuir,California,14.0,18.0
East Palo Alto,California,144.0,533.0
Eastvale,California,83.0,944.0
El Cajon,California,552.0,2046.0
El Centro,California,143.0,1184.0
El Cerrito,California,152.0,1300.0
Elk Grove,California,372.0,2599.0
El Monte,California,304.0,1787.0
El Segundo,California,82.0,625.0
Emeryville,California,166.0,2623.0
Encinitas,California,86.0,605.0
Escalon,California,16.0,135.0
Escondido,California,536.0,2373.0
Etna,California,2.0,0.0
Eureka,California,195.0,1350.0
Exeter,California,26.0,265.0
Fairfax,California,9.0,92.0
Fairfield,California,442.0,3782.0
Farmersville,California,35.0,190.0
Ferndale,California,4.0,24.0
Fillmore,California,20.0,123.0
Firebaugh,California,11.0,103.0
Folsom,California,82.0,1484.0
Fontana,California,739.0,3094.0
Fort Bragg,California,32.0,316.0
Fort Jones,California,2.0,34.0
Fortuna,California,28.0,317.0
Foster City,California,39.0,425.0
Fountain Valley,California,53.0,1163.0
Fowler,California,29.0,104.0
Fremont,California,400.0,4523.0
Fullerton,California,373.0,3157.0
Galt,California,77.0,449.0
Gardena,California,324.0,1202.0
Garden Grove,California,505.0,3909.0
Gilroy,California,251.0,1479.0
Glendale,California,231.0,3305.0
Glendora,California,155.0,1501.0
Goleta,California,40.0,509.0
Gonzales,California,17.0,73.0
Grand Terrace,California,37.0,237.0
Grass Valley,California,73.0,463.0
Greenfield,California,54.0,165.0
Gridley,California,29.0,205.0
Grover Beach,California,13.0,239.0
Guadalupe,California,15.0,82.0
Gustine,California,21.0,116.0
Hanford,California,257.0,1242.0
Hawaiian Gardens,California,76.0,225.0
Hawthorne,California,636.0,1485.0
Hayward,California,552.0,4886.0
Healdsburg,California,17.0,176.0
Hemet,California,343.0,2877.0
Hercules,California,31.0,341.0
Hermosa Beach,California,51.0,449.0
Hesperia,California,462.0,1664.0
Hidden Hills,California,1.0,18.0
Highland,California,362.0,906.0
Hillsborough,California,5.0,97.0
Hollister,California,114.0,311.0
Holtville,California,14.0,70.0
Hughson,California,5.0,46.0
Huntington Beach,California,386.0,4144.0
Huntington Park,California,458.0,1595.0
Huron,California,83.0,56.0
Imperial,California,5.0,56.0
Imperial Beach,California,72.0,331.0
Indian Wells,California,13.0,138.0
Indio,California,530.0,1880.0
Industry,California,72.0,1180.0
Inglewood,California,671.0,2321.0
Ione,California,11.0,46.0
Irvine,California,188.0,3823.0
Irwindale,California,26.0,240.0
Isleton,California,7.0,4.0
Jackson,California,30.0,133.0
Jurupa Valley,California,317.0,2494.0
Kensington,California,5.0,48.0
Kerman,California,23.0,308.0
King City,California,19.0,148.0
Kingsburg,California,18.0,219.0
La Canada Flintridge,California,15.0,323.0
Lafayette,California,4.0,358.0
Laguna Beach,California,38.0,326.0
Laguna Hills,California,32.0,405.0
Laguna Niguel,California,43.0,607.0
Laguna Woods,California,7.0,124.0
La Habra,California,140.0,1122.0
La Habra Heights,California,4.0,79.0
Lake Elsinore,California,173.0,2005.0
Lake Forest,California,66.0,684.0
Lakeport,California,34.0,160.0
Lake Shastina,California,3.0,10.0
Lakewood,California,222.0,1846.0
La Mesa,California,174.0,1000.0
La Mirada,California,86.0,701.0
Lancaster,California,1359.0,3346.0
La Palma,California,17.0,302.0
La Puente,California,151.0,449.0
La Quinta,California,68.0,1032.0
La Verne,California,51.0,627.0
Lawndale,California,125.0,411.0
Lemon Grove,California,167.0,552.0
Lemoore,California,126.0,372.0
Lincoln,California,32.0,468.0
Lindsay,California,69.0,250.0
Livermore,California,193.0,1554.0
Livingston,California,40.0,315.0
Lodi,California,237.0,1658.0
Loma Linda,California,77.0,559.0
Lomita,California,67.0,254.0
Lompoc,California,291.0,1057.0
Long Beach,California,2369.0,11297.0
Los Alamitos,California,6.0,130.0
Los Altos,California,21.0,310.0
Los Altos Hills,California,3.0,67.0
Los Angeles,California,29400.0,95704.0
Los Banos,California,143.0,886.0
Los Gatos,California,14.0,419.0
Lynwood,California,454.0,1419.0
Madera,California,334.0,1301.0
Malibu,California,44.0,416.0
Mammoth Lakes,California,42.0,131.0
Manhattan Beach,California,55.0,851.0
Manteca,California,199.0,1848.0
Marina,California,43.0,361.0
Martinez,California,83.0,570.0
Marysville,California,116.0,541.0
Maywood,California,90.0,296.0
McFarland,California,67.0,163.0
Mendota,California,83.0,155.0
Menifee,California,145.0,1892.0
Menlo Park,California,50.0,774.0
Merced,California,540.0,2342.0
Mill Valley,California,20.0,223.0
Milpitas,California,102.0,2193.0
Mission Viejo,California,65.0,866.0
Modesto,California,1758.0,7183.0
Monrovia,California,43.0,845.0
Montague,California,8.0,32.0
Montclair,California,234.0,1469.0
Montebello,California,178.0,1448.0
Monterey,California,78.0,975.0
Monterey Park,California,126.0,1355.0
Monte Sereno,California,0.0,12.0
Moorpark,California,26.0,228.0
Moraga,California,23.0,124.0
Moreno Valley,California,847.0,5534.0
Morgan Hill,California,52.0,703.0
Morro Bay,California,21.0,127.0
Mountain View,California,165.0,2463.0
Mount Shasta,California,12.0,35.0
Murrieta,California,77.0,1512.0
Napa,California,280.0,1232.0
National City,California,364.0,1123.0
Needles,California,71.0,174.0
Nevada City,California,15.0,89.0
Newark,California,85.0,1399.0
Newman,California,16.0,113.0
Newport Beach,California,135.0,1764.0
Norco,California,49.0,669.0
Norwalk,California,432.0,1571.0
Novato,California,148.0,890.0
Oakdale,California,40.0,531.0
Oakland,California,5520.0,27868.0
Oakley,California,51.0,497.0
Oceanside,California,712.0,3736.0
Ojai,California,8.0,74.0
Ontario,California,659.0,4290.0
Orange,California,180.0,2184.0
Orange Cove,California,18.0,61.0
Orinda,California,17.0,195.0
Orland,California,33.0,134.0
Oroville,California,122.0,822.0
Oxnard,California,724.0,4242.0
Pacifica,California,79.0,533.0
Pacific Grove,California,14.0,169.0
Palmdale,California,658.0,2230.0
Palm Desert,California,136.0,1848.0
Palm Springs,California,267.0,1966.0
Palo Alto,California,86.0,1983.0
Palos Verdes Estates,California,4.0,88.0
Paradise,California,22.0,202.0
Paramount,California,347.0,1246.0
Parlier,California,62.0,179.0
Pasadena,California,613.0,2866.0
Paso Robles,California,53.0,646.0
Patterson,California,46.0,434.0
Perris,California,262.0,2071.0
Petaluma,California,190.0,789.0
Pico Rivera,California,234.0,1052.0
Piedmont,California,14.0,227.0
Pinole,California,59.0,866.0
Pismo Beach,California,29.0,341.0
Pittsburg,California,446.0,1660.0
Placentia,California,192.0,889.0
Placerville,California,39.0,281.0
Pleasant Hill,California,88.0,1484.0
Pleasanton,California,112.0,1632.0
Pomona,California,940.0,4208.0
Porterville,California,192.0,1297.0
Port Hueneme,California,43.0,415.0
Poway,California,51.0,490.0
Rancho Cordova,California,225.0,1422.0
Rancho Cucamonga,California,500.0,3456.0
Rancho Mirage,California,45.0,628.0
Rancho Palos Verdes,California,29.0,313.0
Rancho Santa Margarita,California,30.0,296.0
Red Bluff,California,133.0,787.0
Redlands,California,257.0,2108.0
Redondo Beach,California,160.0,1370.0
Redwood City,California,189.0,1343.0
Reedley,California,117.0,235.0
Rialto,California,595.0,3149.0
Richmond,California,1034.0,4188.0
Ridgecrest,California,142.0,401.0
Rio Dell,California,11.0,61.0
Rio Vista,California,11.0,140.0
Ripon,California,13.0,248.0
Riverbank,California,24.0,375.0
Riverside,California,1686.0,9790.0
Rocklin,California,67.0,983.0
Rohnert Park,California,267.0,786.0
Rolling Hills,California,1.0,8.0
Rolling Hills Estates,California,10.0,126.0
Rosemead,California,175.0,942.0
Roseville,California,259.0,3154.0
Ross,California,2.0,25.0
Sacramento,California,3223.0,16354.0
Salinas,California,782.0,3532.0
San Bernardino,California,2858.0,9081.0
San Bruno,California,138.0,1139.0
San Clemente,California,87.0,918.0
Sand City,California,9.0,77.0
San Diego,California,5215.0,27141.0
San Dimas,California,78.0,833.0
San Fernando,California,80.0,243.0
San Francisco,California,5933.0,48780.0
San Gabriel,California,98.0,715.0
Sanger,California,156.0,304.0
San Jacinto,California,108.0,1637.0
San Jose,California,4559.0,25164.0
San Juan Capistrano,California,63.0,297.0
San Leandro,California,454.0,4105.0
San Luis Obispo,California,192.0,1738.0
San Marcos,California,193.0,955.0
San Marino,California,14.0,208.0
San Mateo,California,266.0,2217.0
San Pablo,California,194.0,1009.0
San Rafael,California,230.0,1686.0
San Ramon,California,58.0,1099.0
Santa Ana,California,1453.0,6808.0
Santa Barbara,California,400.0,2118.0
Santa Clara,California,214.0,4748.0
Santa Clarita,California,277.0,2059.0
Santa Cruz,California,389.0,2932.0
Santa Fe Springs,California,105.0,1035.0
Santa Monica,California,664.0,3964.0
Santa Paula,California,91.0,404.0
Santa Rosa,California,857.0,2874.0
Santee,California,98.0,806.0
Saratoga,California,16.0,240.0
Sausalito,California,7.0,258.0
Scotts Valley,California,13.0,141.0
Seal Beach,California,19.0,551.0
Seaside,California,78.0,439.0
Sebastopol,California,21.0,177.0
Selma,California,85.0,605.0
Shafter,California,53.0,513.0
Sierra Madre,California,15.0,79.0
Signal Hill,California,95.0,678.0
Simi Valley,California,146.0,1188.0
Solana Beach,California,13.0,173.0
Soledad,California,53.0,136.0
Solvang,California,10.0,68.0
Sonoma,California,38.0,122.0
Sonora,California,26.0,269.0
South El Monte,California,102.0,500.0
South Gate,California,622.0,2754.0
South Lake Tahoe,California,111.0,449.0
South Pasadena,California,29.0,566.0
South San Francisco,California,166.0,1484.0
Stallion Springs,California,7.0,19.0
Stanton,California,95.0,526.0
St. Helena,California,12.0,67.0
Stockton,California,4380.0,12367.0
Suisun City,California,114.0,664.0
Sunnyvale,California,259.0,3380.0
Susanville,California,196.0,207.0
Sutter Creek,California,3.0,44.0
Taft,California,67.0,244.0
Tehachapi,California,60.0,327.0
Temecula,California,166.0,2626.0
Temple City,California,64.0,331.0
Thousand Oaks,California,88.0,1392.0
Tiburon,California,0.0,82.0
Torrance,California,280.0,2853.0
Tracy,California,166.0,1843.0
Truckee,California,31.0,114.0
Tulare,California,261.0,1469.0
Tulelake,California,3.0,4.0
Turlock,California,426.0,2323.0
Tustin,California,141.0,2118.0
Twentynine Palms,California,117.0,265.0
Ukiah,California,110.0,298.0
Union City,California,277.0,1718.0
Upland,California,298.0,1821.0
Vacaville,California,331.0,2442.0
Vallejo,California,1037.0,4941.0
Ventura,California,458.0,2969.0
Vernon,California,27.0,485.0
Victorville,California,988.0,2271.0
Villa Park,California,4.0,44.0
Visalia,California,586.0,3900.0
Vista,California,354.0,1438.0
Walnut,California,38.0,386.0
Walnut Creek,California,120.0,2496.0
Waterford,California,13.0,143.0
Watsonville,California,328.0,971.0
Weed,California,34.0,55.0
West Covina,California,260.0,2369.0
West Hollywood,California,294.0,1898.0
Westlake Village,California,13.0,189.0
Westminster,California,259.0,2611.0
West Sacramento,California,212.0,1603.0
Wheatland,California,6.0,43.0
Whittier,California,213.0,1901.0
Wildomar,California,61.0,637.0
Williams,California,20.0,76.0
Willits,California,16.0,92.0
Windsor,California,58.0,257.0
Winters,California,11.0,115.0
Woodlake,California,28.0,88.0
Woodland,California,224.0,1488.0
Yorba Linda,California,42.0,627.0
Yountville,California,5.0,42.0
Yreka,California,28.0,235.0
Yuba City,California,241.0,1823.0
Yucaipa,California,200.0,641.0
Yucca Valley,California,160.0,292.0
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,California,,
Alamosa,Colorado,63.0,511.0
Arvada,Colorado,266.0,3642.0
Aspen,Colorado,9.0,240.0
Aurora,Colorado,2799.0,11106.0
Avon,Colorado,10.0,93.0
Basalt,Colorado,1.0,10.0
Bayfield,Colorado,1.0,41.0
Black Hawk,Colorado,8.0,211.0
Boulder,Colorado,278.0,3284.0
Bow Mar,Colorado,0.0,10.0
Breckenridge,Colorado,16.0,189.0
Brighton,Colorado,138.0,1119.0
Broomfield,Colorado,75.0,2046.0
Buena Vista,Colorado,1.0,23.0
Burlington,Colorado,14.0,71.0
Canon City,Colorado,103.0,818.0
Carbondale,Colorado,9.0,77.0
Castle Rock,Colorado,30.0,962.0
Center,Colorado,6.0,63.0
Cherry Hills Village,Colorado,3.0,74.0
Colorado Springs,Colorado,2806.0,17587.0
Columbine Valley,Colorado,0.0,7.0
Commerce City,Colorado,272.0,1845.0
Cortez,Colorado,43.0,282.0
Craig,Colorado,14.0,251.0
Crested Butte,Colorado,2.0,11.0
Cripple Creek,Colorado,8.0,63.0
Dacono,Colorado,5.0,69.0
Delta,Colorado,10.0,337.0
Denver,Colorado,5459.0,27288.0
Dillon,Colorado,3.0,25.0
Durango,Colorado,75.0,611.0
Eaton,Colorado,3.0,41.0
Edgewater,Colorado,9.0,352.0
Elizabeth,Colorado,2.0,15.0
Englewood,Colorado,72.0,1843.0
Erie,Colorado,28.0,239.0
Estes Park,Colorado,10.0,58.0
Evans2,Colorado,47.0,406.0
Fairplay,Colorado,0.0,11.0
Firestone,Colorado,6.0,127.0
Florence,Colorado,3.0,44.0
Fort Collins,Colorado,371.0,3713.0
Fort Morgan,Colorado,43.0,271.0
Fountain,Colorado,127.0,665.0
Fowler,Colorado,0.0,7.0
Fraser/Winter Park,Colorado,14.0,60.0
Frederick,Colorado,0.0,14.0
Frisco,Colorado,11.0,84.0
Fruita,Colorado,22.0,208.0
Glendale,Colorado,50.0,936.0
Glenwood Springs,Colorado,27.0,469.0
Granby,Colorado,0.0,25.0
Grand Junction,Colorado,235.0,2463.0
Greeley,Colorado,386.0,2542.0
Green Mountain Falls,Colorado,0.0,2.0
Gunnison,Colorado,20.0,91.0
Hayden,Colorado,1.0,30.0
Holyoke,Colorado,0.0,6.0
Hotchkiss,Colorado,2.0,20.0
Hudson,Colorado,7.0,33.0
Idaho Springs,Colorado,14.0,92.0
Ignacio,Colorado,4.0,14.0
Johnstown,Colorado,17.0,291.0
Kersey,Colorado,3.0,1.0
